"[ref]"	"[name]"	"[name_short]"	"[old_name]"	"[branch]"	"iesec:level"	"_data_flag"
116152	"Salacay Elementary School"	""		""	"1"	"maPaaralan"
115204	"Salaguiawan Primary School"	""		""	"0-1"	"maPaaralan"
117643	"Salamanca Elementary School"	""		""	"1"	"maPaaralan"
117412	"Salamanca Elementary School"	""		""	"1"	"maPaaralan"
115018	"Salamento Elementary School"	""	"Paaralang Buhay ng Salamento"	""	"0-1"	"maPaaralan"
117273	"Salapid Primary School"	""		""	"1"	"maPaaralan"
116954	"Salarongon Primary School"	""		""	"1"	"maPaaralan"
115229	"Salazar Elementary School"	""	"Funda Dalipe Elementary School"	""	"0-1"	"maPaaralan"
115492	"Salcedo Elementary School"	""		""	"1"	"maPaaralan"
116786	"Salcedo Elementary School"	""		""	"1"	"maPaaralan"
115574	"Salgan Elementary School"	""		""	"1"	"maPaaralan"
116055	"Salihid Elementary School"	""		""	"1"	"maPaaralan"
117926	"Salngan-Alimono Elementary School"	""		""	"0-1"	"maPaaralan"
115661	"Salocon Elementary School"	""		""	"1"	"maPaaralan"
116022	"Salong Elementary School"	""		""	"1"	"maPaaralan"
117892	"Salong Elementary School"	""		""	"1"	"maPaaralan"
115915	"Salvacion Central School"	""		""	"1"	"maPaaralan"
115305	"Salvacion Elementary School"	""		""	"0-1"	"maPaaralan"
116023	"Salvacion Elementary School"	""		""	"1"	"maPaaralan"
116261	"Salvacion Elementary School"	""		""	"1"	"maPaaralan"
117444	"Salvacion Elementary School"	""		""	"1"	"maPaaralan"
115832	"Salvacion Elementary School"	""		""	"1"	"maPaaralan"
117528	"Salvador Benedicto Elementary School"	""		""	"1"	"maPaaralan"
117336	"Salvador Benedicto Elementary School"	""		""	"1"	"maPaaralan"
115205	"Samalague Elementary School"	""		""	"0-1"	"maPaaralan"
117602	"Sambag Elementary School"	""		""	"1"	"maPaaralan"
180013	"Sambag Primary School – Annex"	""		"Zarraga Central Elementary School"	"1"	"maPaaralan"
116628	"Sambaludan Elementary School"	""		""	"1"	"maPaaralan"
114855	"Sambiray Primary School"	""		""	"0-1"	"maPaaralan"
117868	"Sampac Primary School"	""		""	"1"	"maPaaralan"
115406	"San Agustin Elementary School"	""	"San Agustin Primary School"	""	"0-1"	"maPaaralan"
115457	"San Agustin Elementary School"	""		""	"1"	"maPaaralan"
117084	"San Agustin Elementary School"	""		""	"1"	"maPaaralan"
117209	"San Agustin Elementary School"	""		""	"0-1"	"maPaaralan"
115164	"San Andres-Dumrog Elementary School"	""		""	"0-1"	"maPaaralan"
116765	"San Andres Elementary School"	""		""	"1"	"maPaaralan"
117538	"San Andres Elementary School"	""		""	"0-1"	"maPaaralan"
115230	"San Angel- Malaiba Elementary School"	""		""	"0-1"	"maPaaralan"
114970	"San Antonio Elementary School"	""		""	"0-1"	"maPaaralan"
115052	"San Antonio Elementary School"	""		""	"0-1"	"maPaaralan"
116077	"San Antonio Elementary School"	""		""	"1"	"maPaaralan"
116752	"San Antonio Elementary School"	""		""	"1"	"maPaaralan"
117085	"San Antonio Elementary School"	""		""	"1"	"maPaaralan"
180509	"San Antonio Elementary School"	""	"San Antonio Primary School"	""	"1"	"maPaaralan"
115904	"San Antonio Elementary School"	""		""	"1"	"maPaaralan"
115427	"San Antonio Elementary School"	""		""	"1"	"maPaaralan"
115676	"San Antonio Elementary School"	""		""	"1"	"maPaaralan"
115790	"San Antonio Elementary School"	""		""	"1"	"maPaaralan"
115937	"San Antonio Primary School"	""		""	"1"	"maPaaralan"
116497	"San Antonio Primary School"	""		""	"1"	"maPaaralan"
116713	"San Antonio Primary School"	""		""	"1"	"maPaaralan"
116629	"San Antonio-San Nicolas Elementary School"	""		""	"1"	"maPaaralan"
116913	"San Benito Elementary School"	""		""	"1"	"maPaaralan"
115989	"San Carlos Elementary School"	""		""	"1"	"maPaaralan"
117784	"San Carlos Milling Company Elementary School"	""		""	"1"	"maPaaralan"
116498	"San Diego Primary School"	""		""	"1"	"maPaaralan"
114871	"San Dimas Elementary School"	""	"San Dimas Primary School"	""	"0-1"	"maPaaralan"
116691	"San Dionisio Central Elementary School"	""	"Federico Ferraris Memorial School"	""	"1"	"maPaaralan"
116766	"San Dionisio Elementary School"	""		""	"1"	"maPaaralan"
117010	"San Dionisio Primary School"	""		""	"1"	"maPaaralan"
116714	"San Enrique Central School"	""		""	"1"	"maPaaralan"
117346	"San Enrique Elementary School"	""		""	"1"	"maPaaralan"
115854	"San Enrique Elementary School"	""		""	"1"	"maPaaralan"
115678	"San Esteban Elementary School"	""		""	"1"	"maPaaralan"
115231	"San Fernando Elementary School"	""		""	"0-1"	"maPaaralan"
116225	"San Fernando Elementary School"	""		""	"1"	"maPaaralan"
116592	"San Fernando Elementary School"	""		""	"1"	"maPaaralan"
117399	"San Fernando Elementary School"	""		""	"1"	"maPaaralan"
116078	"San Fernando Primary School"	""		""	"1"	"maPaaralan"
116767	"San Florentino Elementary School"	""		""	"1"	"maPaaralan"
114952	"San Francisco Elementary School"	""		""	"0-1"	"maPaaralan"
115348	"San Francisco Norte Elementary School"	""		""	"0-1"	"maPaaralan"
116079	"San Francisco Primary School"	""		""	"1"	"maPaaralan"
115349	"San Francisco Sur Elementary School"	""		""	"0-1"	"maPaaralan"
116080	"San Geronimo Primary School"	""		""	"1"	"maPaaralan"
116466	"San Gregorio Elementary School"	""		""	"1"	"maPaaralan"
114743	"San Isidro Elementary School"	""	"San Isidro Primary School"	""	"0-1"	"maPaaralan"
116914	"San Isidro Elementary School"	""		""	"1"	"maPaaralan"
